Number Encoding,Letter Encoding,Name,SMILES,C-SMILES,SP,MFP,OHE,Embedding,Sigma,3dptv,5dptv,7dptv,9dptv,9drandom,mordred,3drandom,ESP,hydropathy,charge,cMFP,cmordred
0,A,Alanine,CC(C(=O)O)N,C[C@@H](C(=O)O)N,"(0.38174005383115966, 0.0, 0.73, 0.743362831858407)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,5.04,"(-2.280025, 0.9915092, -1.176831)","(-0.08651763, -1.6851611, 1.0174456, -2.1293283, -0.7724092)","(-1.5508978, 0.8666707, 0.15691423, 0.27964008, -0.23879549, -2.527049, -0.77285093)","(2.165968, -1.21291, -0.53067064, 0.3411171, -0.9389647, 0.3660942, 0.16962627, -0.82784545, -1.4303657)","(-0.9986068873178993, -0.6135686029381857, 0.59380181740243, -0.20909933098003575, 0.31040466573121916, -0.05128948926480925, 0.3238618535137634, 0.24106622987111748, -0.562959513294145)","(0.25, 0.0, 0.3959390862944162, 0.02411575562700965, 0.0, 0.5112443778110944, 0.0, 0.21854514661498162, 0.20969089390142018, 0.5674290438137228, 0.7554768100649237, 0.6169231284714178, 0.1763120095971712, 0.014363948595980832, 0.6215823342145155, 0.8468908083825541, 0.9269390629408076, 0.6360365983869115, 0.7543208551508743, 0.9817181163581868, -0.7366909497305169, 0.16483799433256513, 0.0, 0.5876923076923076, -0.5284984574925402, -0.7571992110453647, -0.6959063149931104, 0.11370305021299827, 0.0, 0.0, 0.39654161369955004, -0.32471149798549936, -0.3411910514072942, -0.6608921325318247, 0.0, 0.0, 0.0, 0.00890579634953476, -0.18493652822248152, -0.47890778265969736, 0.5931633234737647, 0.0, 0.0, 0.0, 0.5934144905805292, -0.4968231511187617, 0.5829779741415031, -0.7343668389747177, 0.24489225396114986, 0.0, 0.0, -0.24481411974871192, 0.22294763656201608, 0.0, 0.0, 0.0, -0.7098035074446648, 0.32196969420681193, 0.0, 0.0, 0.7564302562944367, 0.2701184557095752, 0.8383759443265972, -1.0, 0.4229603272606276, -0.2942028207368305, 0.8230570349558567, 0.08088090459384246, 0.07891353249690677, -0.4123185174715149, 0.8590909908527001, 0.7209673537480111, -0.8861287921962122, 0.27481756452896666, 0.2900538787412487, -0.6052006153087786, 0.6837275512965415, 0.7891164638376982, -0.8414852576467342, -0.4463413428377042, 0.8282828282828288, 0.5909090909090906, 0.2556793225263794, 0.4825204299290313, -0.808552645892457, 0.9184757286447554, -0.6852261911259059, 0.694641805179676, -1.0, -0.31015995635296345, 0.27424127340006843, 0.3240485187743533, -0.5059636170357217, -1.0, 0.9941279549448493, 0.45279316117231894, 0.16628612426186623, -0.4735196190878739, 0.9762510743660165, 0.4965367215143851, 0.6788745362493243, 0.9221112780749735, 0.8225624520967819, 0.8494699606783881, 0.5110764984112616, 0.49584038094775745, 0.7446477632056399, 0.7143633014749602, 0.4149661834710709, 0.9923053247152972, 0.6082849956367743, 0.6268216119539535, 0.8868840025469759, 0.8941966203604214, 0.951721318409584, 0.0, 0.8364671549599113, 0.9041394607140456, 0.616930037947091, 0.5270654099383425, 0.8048038518962601, 1.0, 0.6137821338212528, 0.8715230349576493, 0.43421772112998375, 0.48937948124968217, 0.9199907201606125, 0.12749375358557716, 0.32866897275491075, 0.9759122616617111, -0.9181874282635865, 0.5004795906200993, 0.8878886268888628, 0.9999764812085336, 0.9986503993811042, 0.5061879175303764, 0.5, 0.5, 0.25, 0.6278440115969336, 0.8660254037844386, 0.3790078783461659, 0.2674062818253883, 0.5258496746788809, 0.0, 0.0, 0.816496580927726, 0.7141859761756131, 0.8357635412045185, 0.6923059624902529, 0.0, 0.4356539668928878, 0.3330179045379665, 0.6140761716743093, 0.9928607701740556, 0.0, 0.5, 0.0, 0.0, -0.342361863488624, -0.5673249551166966, -0.7999384662718253, 0.8786174881547688, 0.728720874940561, 0.0, 0.0, 0.0, 0.8831168831168832, 0.82183908045977, 0.641731159873704, 0.6673768400484424, 0.8333333333333328, 0.9263762242485644, -0.6718552036199096, -0.4117647058823529, 0.0, 0.6666666666666666, 0.8688283041021762, 0.6904738346945908, 0.8509218284186252, 0.4888542349095746, 0.506029817647195, 0.7461628048246632, 0.6934389682881413, 0.6455791019395832, 0.7189487407989525, 0.4033333333333333, 1.0, 0.48594330956399007, 0.0, 0.0, 0.0, 0.28708940240695574, 0.0, 0.5123959058910789, 0.0, 0.25835003317702426, 0.0, 0.5778705852636496, 0.34160430615727977, 0.0, 0.49223440528402923, 0.0, 0.0, 0.0, 0.5706658632385097, 0.0, 0.0, 0.0, 0.48594330956399007, 0.4500900628858821, 0.3156133340705931, -0.3855135856470326, 0.0, 0.3643604374702805, 0.8888888888888888, 0.7614856834587242, 0.4282994311417751, 0.40997304259696726, 0.2217886149399632, 0.48692519834189235, 0.5285342205916461, 1.0, 0.4719443047740334, 0.49327852375077696, 0.5103884166226381, 0.0, 0.0, 0.0, 0.2, 0.36, -0.3370213751955049, 0.4957720012527404, 0.0, 1.0, 0.9333333333333338, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9106291339793877, 0.6666666666666666, 0.0, 0.6666666666666667)","(0.08005191490465191, -0.6576680694138122, 0.37970092765672736)","(0.38174005383115966, 0.0, 0.8527918781725888, 0.8580750407830341, 0.859223300970874, 0.8629921259842521, 0.867579908675799, 0.8457446808510637, 0.8646967340590981, 0.8657407407407406, 0.867579908675799, 0.8657407407407406, 0.8657407407407406, 0.8603531300160512, 0.8589951377633711, 0.8640624999999998, 0.8695652173913043, 0.854515050167224, 0.8596774193548387, 0.8623417721518988, 0.8716814159292036, 0.8685800604229608, 0.8439306358381503, 0.8307210031347962, 0.8040638606676342, 0.8149417409184373, 0.865, 0.8362644026682838, 0.821664464993395, 0.8631525595539787, 0.821664464993395, 0.8631525595539787, 0.85310119695321, 0.8114525139664804, 0.865, 0.821664464993395, 0.73, 0.8307210031347962, 0.8389021479713604, 0.8572938689217758, 0.8612538540596094, 0.8552278820375335)",0.73,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.25, 0.0, 0.3959390862944162, 0.021676300578034685, 0.0, 0.0, 0.5538461538461539, 0.0, 0.15909056300878663, 0.22129186602870812, 0.6169231284714178, 0.1763120095971712, 0.011958549873295343, 0.7754101355551959, 0.5720556247410368, 0.6011847888400537, 0.708693619588168, 0.966013362283151, 0.965487669067144, 0.9707453773384865, 0.9816567851283703, 0.644457581960288, -0.5195672828508677, 0.18775793869880536, 0.0, 0.0, 0.0, 0.60307562004528, -0.6826169849156879, -0.6959063149931104, 0.595097210481826, 0.11370305021299827, 0.0, 0.0, -0.6375845396301164, 0.41893922216218393, 0.0, 0.39654161369955004, -0.32471149798549936, -0.3411910514072942, -0.6608921325318247, 0.0, 0.0, 0.0, -0.20354236763358605, -0.47890778265969736, 0.5931633234737647, 0.0, 0.0, 0.6142017236091172, -0.4964146943662732, -0.6662742277215828, 0.25074247274157885, 0.0, 0.0, -0.24481411974871192, 0.22294763656201608, 0.0, 0.0, -0.7098035074446648, 0.32196969420681193, 0.0, 0.0, 0.0, 0.9858190447212165, 0.8024641322849959, 0.3762234877928834, -0.2942028207368305, 0.35634944083118614, -0.7336629528867774, -0.608651653556056, 0.7922929317237303, 0.09159357276443644, 0.07891353249690677, 0.18639166120070844, 0.7209673537480111, -0.8861287921962122, -0.9005459742669417, -0.6052006153087786, 0.6837275512965415, -0.8311627802917864, -0.8414852576467342, 0.23267022549048005, -1.0, -0.4463413428377042, 0.8282828282828288, 0.4123875397493775, 0.4694278206114889, 0.9184757286447554, -0.6852261911259059, 0.694641805179676, 0.023072054713582174, -1.0, -0.31015995635296345, 0.20580865445852523, 0.002887691432230618, 0.2676040578853227, -0.5059636170357217, -1.0, 0.9933956788207848, 0.40567680507958737, 0.16628612426186623, -0.4735196190878739, 0.9762510743660165, 0.47779451771813314, 0.6540299618242298, 0.8441344610548591, 0.7508254485837366, 0.8494699606783881, 0.28421614035693904, 0.3111377210772417, 0.4339682427735664, 0.7446477632056399, 0.7143633014749602, 0.9923053247152972, 0.6082849956367743, 0.3444603041580265, 0.28273614494936244, 0.8938387026216721, 0.6268216119539535, 0.8414599105851898, 0.8941966203604214, 0.951721318409584, 0.847754535243357, 0.9041394607140456, 0.616930037947091, 0.0, 0.5989591453588576, 0.8048038518962601, 1.0, 0.6137821338212528, 0.8286190664731002, 0.0, 0.39092381283239186, 0.4338349549851832, 0.8998573166870021, 0.17775160904437626, 0.9332224822682925, 0.5004795906200993, 0.9627299097346291, 0.8758242703191951, 0.5061879175303764, 0.4582163149135436, 0.9756104897243094, 0.5, 0.25, 0.6278440115969336, 0.8660254037844386, 0.3790078783461659, 0.2674062818253883, 0.0, 0.9204226849385025, 0.7141859761756131, 0.8357635412045185, 0.6923059624902529, 0.0, 0.4420815561426446, 0.3584604513874837, 0.0, 0.5, 0.5, 0.0, -0.342361863488624, 0.4500900628858821, -0.541095890410959, -0.721821210438645, 0.8786174881547688, 0.728720874940561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8831168831168832, 0.6333333333333333, 0.82183908045977, 0.641731159873704, 0.6673768400484424, 0.8333333333333328, 0.8791666666666664, 0.8160703075957316, -0.4117647058823529, 0.0, 0.5, 0.4, 0.750839456970216, 0.929321233080751, 0.4546857567270937, 0.506029817647195, 0.6746921501951666, 0.6934389682881413, 0.6455791019395832, 0.7481789155898707, 0.5, 0.4033333333333333, 0.384445818817863, 0.5226391819482522, 0.0, 0.0, 0.28708940240695574, 0.0, 0.5123959058910789, 0.0, 0.5, 0.0, 0.4920938331363397, 0.0, 0.5778705852636496, 0.34160430615727977, 0.0, 0.49223440528402923, 0.0, 0.0, 0.0, 0.5706658632385097, 0.0, 0.0, 0.0, 0.49311390163238766, 0.47549929490660353, 0.4388557184137325, 0.46759252879465846, 0.0, 0.3643604374702805, 0.8888888888888888, 0.7614856834587242, 0.4282994311417751, 0.40997304259696726, 0.2217886149399632, 0.48692519834189235, 0.5285342205916461, 0.8350784341024611, 0.4719443047740334, 0.7412518283024815, 0.0, 0.49542480917670817, 0.0, 0.0, 0.0, 0.0, 0.2, 0.36, -0.18422469206168265, 0.4987397605545053, 0.0, 0.0, 1.0, 0.9333333333333338, 0.0, 0.0, 0.0, 0.9106291339793877, 0.6666666666666666, 0.0, 0.7782105683703329, 0.6666666666666667)"
1,C,Cysteine,C(C(C(=O)O)N)S,C([C@@H](C(=O)O)N)S,"(0.5536976828752779, 0.0, 0.595, 0.808259587020649)","(1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0)","(0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,5.48,"(1.546389, -2.6228538, 2.3648946)","(-1.523764, 0.94313926, 0.7566514, 0.33343944, 3.4539723)","(0.5446409, -0.5553445, -2.8205822, 2.848239, 0.856546, 2.7120423, 0.22176081)","(-0.84576243, 0.76536286, 2.2366192, 0.2956858, -1.6804837, -2.1837676, -0.9902524, -2.0558515, 1.0232922)","(0.19864133808851303, -0.7726147868758955, -0.032285301610579964, -0.3190774658672093, 0.6447897811453063, -0.32867158920616735, 0.061945769853562815, 0.5850826790780528, -0.960288159947059)","(0.25, 0.0, 0.44604248918969724, 0.09765392402048352, 0.0, 0.6052903035661655, 0.06427915518824608, 0.0, 0.20969089390142018, 0.5520651541593949, 1.0, 1.0, 1.0, 0.11100076943009617, 0.7503158254934672, 0.8468908083825541, 0.9399955988836316, 0.7272660902767512, 0.604600531791495, 0.9817181163581868, -0.4705973645333784, -0.014990810855191963, 0.0, 0.5967548500881834, -0.35692310824585943, -0.8012891576383638, -0.6629031778000456, 0.27573714823656004, 0.03167053606183618, 0.0, 0.8318550050233255, -1.0, 0.1248809352160829, -0.442171377753989, 0.1731954379089238, 0.0, 0.0, 0.04535395913095552, -0.661686482883898, -0.24507733353290878, 0.5433093583327784, 0.19942132743499896, 0.0, 0.0, 0.5951485686220376, -0.4727606010424533, 0.5048131265946093, -0.6618388058876169, 0.017636801700145723, 0.04650970387386576, 0.0, -0.5971707059309138, 0.3062098817168587, 0.11998824995876163, 0.0, 0.0, -0.8431749350250394, -0.07078849247381447, 0.05524573631399879, 0.0, 0.6288052733780088, 0.2701184557095752, 0.8296752663329484, -0.9049465500485906, 0.4229603272606276, -1.0, 0.6770675959137684, 0.2503811502628519, -0.005172446760814821, -0.9554731294894616, -1.0, 1.0, -1.0, 1.0, 0.16878011915844798, -0.3357992390873286, -0.034742706607099445, 0.6789443957914789, -0.8156339181995019, -0.819733666224092, 0.697069706970697, 0.8044554455445544, 0.5414603960396039, 0.4825204299290313, -0.5780167907937498, 0.8801793688065312, -1.0, -0.6624772854274003, -0.3731996634493822, -0.5489481343929512, 0.27424127340006843, 0.3240485187743533, -0.4831300159860173, -0.13898389402688394, 0.31256849630779565, 0.45279316117231894, 0.4408752468312892, -0.35644397897699137, 0.6639938565773602, 0.4965367215143851, 0.6788745362493243, 0.9005434250608108, 0.8100401858038137, 0.7854733045078115, 0.1728959582558356, 0.49584038094775745, 0.7829249765028519, 0.7025810362055984, 0.4149661834710709, 0.9582460000386003, 0.7293036996007292, 0.6434054141270495, 0.908955051242465, 0.6926859460809867, 0.8067111762682664, 0.4752939286396787, 0.8957653415066965, 0.7584875782399991, 0.8450385428041259, 0.0, 0.7513044660791692, 0.8788169474892172, 0.6800307262636149, 0.8647337291498393, 0.0, 0.48937948124968217, 0.8128272764644826, 0.6907329929259296, 0.32866897275491075, 0.9825197113776939, -0.9172830474872883, 0.275533790903254, 0.824021360325229, 0.9999793463017282, 0.9986503585077529, 1.0, 0.5, 0.5, 0.25, 0.5358983848622454, 0.6123724356957945, 0.2946692552669702, 0.18908479521061275, 0.5032942895198969, 0.18432088917018014, 0.0, 0.727507328237388, 1.0, 0.8357635412045185, 0.6923059624902529, 0.14419487754223206, 0.6826839528168546, 0.3330179045379665, 0.6140761716743093, 0.9778828640353304, 0.25, 0.5, 0.0, 0.0685827037766573, -0.3820873961719032, -0.6331538001196888, -0.8345511883701257, 0.894519482128141, 0.0, 0.23348519362186784, 0.0, 1.0, 0.6666666666666666, 0.812807881773399, 0.8312957489504122, 0.8558527566189168, 0.16483516483516494, 0.8944459795523623, -0.741361962845339, -0.5294117647058824, 0.0, 1.0, 1.0, 0.7644540673380599, 0.9518876101661825, 0.2688045212464534, 0.2782487971987092, 0.9852826148097367, 0.9119239705373988, 0.7959685020120091, 0.8864297969340366, 0.3585185185185185, 1.0, 0.48594330956399007, 0.0, 1.0, 0.0, 0.0, 0.0, 0.5123959058910789, 0.0, 0.25835003317702426, 0.47906023090455474, 0.7720795049715706, 0.0, 0.0, 0.49223440528402923, 0.4479842257419056, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.48594330956399007, 0.4582361896862005, 0.3224120894718266, -0.32620380323979686, 0.0, 0.0, 0.8888888888888888, 0.7614856834587242, 0.6085234425677034, 0.40997304259696726, 0.2217886149399632, 0.48692519834189235, 0.5285342205916461, 1.0, 0.4129217481860509, 0.49669207071503735, 0.6819018722715595, 0.0, 0.0, 0.0, 0.4, 0.6, -0.3892139257371258, 0.7995615408706547, 0.27272727272727276, 0.8333333333333333, 1.0, 0.6666666666666656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.886676775001648, 1.0, 0.0, 0.7061403508771931)","(0.467347179464892, 0.3017475977895576, 0.2993226218441527)","(0.5536976828752779, 0.0, 0.8900169204737732, 0.8939641109298532, 0.894822006472492, 0.8976377952755906, 0.9010654490106544, 0.8847517730496454, 0.8989113530326595, 0.8996913580246914, 0.9010654490106544, 0.8996913580246914, 0.8996913580246914, 0.8956661316211878, 0.8946515397082657, 0.8984375, 0.9025487256371814, 0.8913043478260869, 0.8951612903225807, 0.8971518987341771, 0.9041297935103245, 0.9018126888217524, 0.7658959537572254, 0.7460815047021944, 0.7060957910014513, 0.7224126113776559, 0.7975, 0.7543966040024257, 0.7324966974900925, 0.7947288393309682, 0.7324966974900925, 0.7947288393309682, 0.7796517954298149, 0.7171787709497206, 0.7975, 0.7324966974900925, 0.595, 0.7460815047021944, 0.7583532219570405, 0.7859408033826639, 0.7918807810894142, 0.7828418230563002)",0.595,0.0,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0)","(0.25, 0.033950617283950615, 0.44604248918969724, 0.08777563690858489, 0.004373177842565597, 0.0, 0.5320105820105819, 0.05144032921810698, 0.0, 0.22129186602870812, 1.0, 1.0, 0.09241248869237692, 0.8665442547712162, 0.21707696784576438, 0.6874153343100409, 0.5605390608549168, 0.939007425912772, 0.9924558008465474, 0.9707453773384865, 0.9816567851283703, 0.605601765860542, -0.33189900608501827, -0.01707521228337624, 0.07170341439037597, 0.0, 0.0, 0.5300151082410505, -0.7223641821781579, -0.6629031778000456, 0.5738836888138718, 0.27573714823656004, 0.03167053606183618, 0.0, -0.46992596402148756, 0.402187272061307, 0.0, 0.8318550050233255, -1.0, 0.1248809352160829, -0.442171377753989, 0.1731954379089238, 0.0, 0.0, -0.7282565248294555, -0.24507733353290878, 0.5433093583327784, 0.19942132743499896, 0.0, 0.6159965461806476, -0.4723719270054817, -0.6004712030360726, 0.018058126371971656, 0.04650970387386576, 0.0, -0.5971707059309138, 0.3062098817168587, 0.0, 0.0, -0.8431749350250394, -0.07078849247381447, 0.05524573631399879, 0.0, 0.0, 0.7997450764717968, 0.7941361476097287, 0.5154700527354676, -1.0, 0.35634944083118614, -0.48363677675048283, -0.5346211688206822, 0.6517602641843993, 0.28354410995533985, -0.005172446760814821, 1.0, 1.0, -1.0, -0.8555101487214599, -0.3357992390873286, -0.034742706607099445, -0.5266356437957477, -0.8156339181995019, 0.23267022549048005, -0.9144365865157942, -0.819733666224092, 0.697069706970697, 0.4123875397493775, 0.4694278206114889, 0.8801793688065312, -1.0, -0.6624772854274003, 0.08941329815972954, -0.3731996634493822, -0.5489481343929512, 0.9771469943186329, 0.3664939003098829, 0.2676040578853227, -0.4831300159860173, -0.13898389402688394, -0.4764772780805728, 0.40567680507958737, 0.4408752468312892, -0.35644397897699137, 0.6639938565773602, 0.47779451771813314, 0.6540299618242298, 0.9245812965160284, 0.7393952694128587, 0.7854733045078115, 0.0847395207277422, 0.3111377210772417, 0.4339682427735664, 0.7829249765028519, 0.7025810362055984, 0.9582460000386003, 0.7293036996007292, 0.0, 0.28273614494936244, 0.8480161396169579, 0.6434054141270495, 0.8624005325926816, 0.6926859460809867, 0.8067111762682664, 0.9078528980764475, 0.7584875782399991, 0.8450385428041259, 0.5239406677110486, 0.5989591453588576, 0.7513044660791692, 0.8788169474892172, 0.6800307262636149, 0.8221639895390279, 0.313212829584167, 0.0, 0.4338349549851832, 0.745911323105815, 0.9849259004837013, 0.7049107141060779, 0.275533790903254, 0.9632124305281137, 0.8758242916537431, 1.0, 0.3885435702446326, 0.8696481851213, 0.5, 0.25, 0.5358983848622454, 0.6123724356957945, 0.2946692552669702, 0.18908479521061275, 0.18432088917018014, 0.833806971610288, 1.0, 0.8357635412045185, 0.6923059624902529, 0.0, 0.6826839528168546, 0.3584604513874837, 0.25, 0.5, 0.5, 0.05874275876346054, -0.3820873961719032, 0.4582361896862005, -0.6038812785388128, -0.7530538589672404, 0.894519482128141, 0.0, 0.23348519362186784, 0.0, 0.0, 0.0, 1.0, 0.0, 0.6666666666666666, 0.6, 0.812807881773399, 0.8312957489504122, 0.8558527566189168, 0.16483516483516494, 0.8488636363636362, 0.8804754567466435, -0.5294117647058824, 0.0, 0.75, 0.6, 0.8312875129477784, 1.0, 0.28519689115613295, 0.2782487971987092, 1.0, 0.9119239705373988, 0.7959685020120091, 0.9224692200999582, 0.5833333333333334, 0.3585185185185185, 0.2944211828891612, 0.5226391819482522, 0.0, 1.0, 0.0, 0.0, 0.5123959058910789, 0.0, 0.5, 0.0, 0.4920938331363397, 0.47906023090455474, 0.7720795049715706, 0.0, 0.0, 0.49223440528402923, 0.4479842257419056, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.49311390163238766, 0.4845563148419861, 0.44679851614252725, 0.4776651299415037, 0.0, 0.0, 0.8888888888888888, 0.7614856834587242, 0.6085234425677034, 0.40997304259696726, 0.2217886149399632, 0.48692519834189235, 0.5285342205916461, 0.9658186062820987, 0.4129217481860509, 0.6397554689874193, 0.0, 0.6619098199424006, 0.0, 0.0, 0.0, 0.0, 0.4, 0.6, -0.2127545042905545, 0.8043478260869567, 0.27272727272727276, 0.0, 0.8333333333333333, 1.0, 0.6666666666666656, 0.0, 0.0, 0.886676775001648, 1.0, 0.0, 0.9820782411223821, 0.7061403508771931)"
