Number Encoding,Letter Encoding,Name,SMILES,SP,MFP,OHE,Embedding,Sigma,hydropathy,charge,mordred,ESP
0,A,Alanine,C[C@@H](C(=O)O)N,"(0.38174005383115966, 0.0, 0.73, 0.743362831858407)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,5.04,0.73,0,"(0.25, 0.0, 0.3959390862944162, 0.021676300578034685, 0.0, 0.0, 0.5538461538461539, 0.0, 0.15909056300878663, 0.22129186602870812, 0.6169231284714178, 0.1763120095971712, 0.011958549873295343, 0.7754101355551959, 0.5720556247410368, 0.6011847888400537, 0.708693619588168, 0.966013362283151, 0.965487669067144, 0.9707453773384865, 0.9816567851283703, 0.644457581960288, -0.5195672828508677, 0.18775793869880536, 0.0, 0.0, 0.0, 0.60307562004528, -0.6826169849156879, -0.6959063149931104, 0.595097210481826, 0.11370305021299827, 0.0, 0.0, -0.6375845396301164, 0.41893922216218393, 0.0, 0.39654161369955004, -0.32471149798549936, -0.3411910514072942, -0.6608921325318247, 0.0, 0.0, 0.0, -0.20354236763358605, -0.47890778265969736, 0.5931633234737647, 0.0, 0.0, 0.6142017236091172, -0.4964146943662732, -0.6662742277215828, 0.25074247274157885, 0.0, 0.0, -0.24481411974871192, 0.22294763656201608, 0.0, 0.0, -0.7098035074446648, 0.32196969420681193, 0.0, 0.0, 0.0, 0.9858190447212165, 0.8024641322849959, 0.3762234877928834, -0.2942028207368305, 0.35634944083118614, -0.7336629528867774, -0.608651653556056, 0.7922929317237303, 0.09159357276443644, 0.07891353249690677, 0.18639166120070844, 0.7209673537480111, -0.8861287921962122, -0.9005459742669417, -0.6052006153087786, 0.6837275512965415, -0.8311627802917864, -0.8414852576467342, 0.23267022549048005, -1.0, -0.4463413428377042, 0.8282828282828288, 0.4123875397493775, 0.4694278206114889, 0.9184757286447554, -0.6852261911259059, 0.694641805179676, 0.023072054713582174, -1.0, -0.31015995635296345, 0.20580865445852523, 0.002887691432230618, 0.2676040578853227, -0.5059636170357217, -1.0, 0.9933956788207848, 0.40567680507958737, 0.16628612426186623, -0.4735196190878739, 0.9762510743660165, 0.47779451771813314, 0.6540299618242298, 0.8441344610548591, 0.7508254485837366, 0.8494699606783881, 0.28421614035693904, 0.3111377210772417, 0.4339682427735664, 0.7446477632056399, 0.7143633014749602, 0.9923053247152972, 0.6082849956367743, 0.3444603041580265, 0.28273614494936244, 0.8938387026216721, 0.6268216119539535, 0.8414599105851898, 0.8941966203604214, 0.951721318409584, 0.847754535243357, 0.9041394607140456, 0.616930037947091, 0.0, 0.5989591453588576, 0.8048038518962601, 1.0, 0.6137821338212528, 0.8286190664731002, 0.0, 0.39092381283239186, 0.4338349549851832, 0.8998573166870021, 0.17775160904437626, 0.9332224822682925, 0.5004795906200993, 0.9627299097346291, 0.8758242703191951, 0.5061879175303764, 0.4582163149135436, 0.9756104897243094, 0.5, 0.25, 0.6278440115969336, 0.8660254037844386, 0.3790078783461659, 0.2674062818253883, 0.0, 0.9204226849385025, 0.7141859761756131, 0.8357635412045185, 0.6923059624902529, 0.0, 0.4420815561426446, 0.3584604513874837, 0.0, 0.5, 0.5, 0.0, -0.342361863488624, 0.4500900628858821, -0.541095890410959, -0.721821210438645, 0.8786174881547688, 0.728720874940561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8831168831168832, 0.6333333333333333, 0.82183908045977, 0.641731159873704, 0.6673768400484424, 0.8333333333333328, 0.8791666666666664, 0.8160703075957316, -0.4117647058823529, 0.0, 0.5, 0.4, 0.750839456970216, 0.929321233080751, 0.4546857567270937, 0.506029817647195, 0.6746921501951666, 0.6934389682881413, 0.6455791019395832, 0.7481789155898707, 0.5, 0.4033333333333333, 0.384445818817863, 0.5226391819482522, 0.0, 0.0, 0.28708940240695574, 0.0, 0.5123959058910789, 0.0, 0.5, 0.0, 0.4920938331363397, 0.0, 0.5778705852636496, 0.34160430615727977, 0.0, 0.49223440528402923, 0.0, 0.0, 0.0, 0.5706658632385097, 0.0, 0.0, 0.0, 0.49311390163238766, 0.47549929490660353, 0.4388557184137325, 0.46759252879465846, 0.0, 0.3643604374702805, 0.8888888888888888, 0.7614856834587242, 0.4282994311417751, 0.40997304259696726, 0.2217886149399632, 0.48692519834189235, 0.5285342205916461, 0.8350784341024611, 0.4719443047740334, 0.7412518283024815, 0.0, 0.49542480917670817, 0.0, 0.0, 0.0, 0.0, 0.2, 0.36, -0.18422469206168265, 0.4987397605545053, 0.0, 0.0, 1.0, 0.9333333333333338, 0.0, 0.0, 0.0, 0.9106291339793877, 0.6666666666666666, 0.0, 0.7782105683703329, 0.6666666666666667)","(0.38174005383115966, 0.0, 0.8527918781725888, 0.8580750407830341, 0.859223300970874, 0.8629921259842521, 0.867579908675799, 0.8457446808510637, 0.8646967340590981, 0.8657407407407406, 0.867579908675799, 0.8657407407407406, 0.8657407407407406, 0.8603531300160512, 0.8589951377633711, 0.8640624999999998, 0.8695652173913043, 0.854515050167224, 0.8596774193548387, 0.8623417721518988, 0.8716814159292036, 0.8685800604229608, 0.8439306358381503, 0.8307210031347962, 0.8040638606676342, 0.8149417409184373, 0.865, 0.8362644026682838, 0.821664464993395, 0.8631525595539787, 0.821664464993395, 0.8631525595539787, 0.85310119695321, 0.8114525139664804, 0.865, 0.821664464993395, 0.73, 0.8307210031347962, 0.8389021479713604, 0.8572938689217758, 0.8612538540596094, 0.8552278820375335)"
1,C,Cysteine,C([C@@H](C(=O)O)N)S,"(0.5536976828752779, 0.0, 0.595, 0.808259587020649)","(1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0)","(0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,5.48,0.595,0,"(0.25, 0.033950617283950615, 0.44604248918969724, 0.08777563690858489, 0.004373177842565597, 0.0, 0.5320105820105819, 0.05144032921810698, 0.0, 0.22129186602870812, 1.0, 1.0, 0.09241248869237692, 0.8665442547712162, 0.21707696784576438, 0.6874153343100409, 0.5605390608549168, 0.939007425912772, 0.9924558008465474, 0.9707453773384865, 0.9816567851283703, 0.605601765860542, -0.33189900608501827, -0.01707521228337624, 0.07170341439037597, 0.0, 0.0, 0.5300151082410505, -0.7223641821781579, -0.6629031778000456, 0.5738836888138718, 0.27573714823656004, 0.03167053606183618, 0.0, -0.46992596402148756, 0.402187272061307, 0.0, 0.8318550050233255, -1.0, 0.1248809352160829, -0.442171377753989, 0.1731954379089238, 0.0, 0.0, -0.7282565248294555, -0.24507733353290878, 0.5433093583327784, 0.19942132743499896, 0.0, 0.6159965461806476, -0.4723719270054817, -0.6004712030360726, 0.018058126371971656, 0.04650970387386576, 0.0, -0.5971707059309138, 0.3062098817168587, 0.0, 0.0, -0.8431749350250394, -0.07078849247381447, 0.05524573631399879, 0.0, 0.0, 0.7997450764717968, 0.7941361476097287, 0.5154700527354676, -1.0, 0.35634944083118614, -0.48363677675048283, -0.5346211688206822, 0.6517602641843993, 0.28354410995533985, -0.005172446760814821, 1.0, 1.0, -1.0, -0.8555101487214599, -0.3357992390873286, -0.034742706607099445, -0.5266356437957477, -0.8156339181995019, 0.23267022549048005, -0.9144365865157942, -0.819733666224092, 0.697069706970697, 0.4123875397493775, 0.4694278206114889, 0.8801793688065312, -1.0, -0.6624772854274003, 0.08941329815972954, -0.3731996634493822, -0.5489481343929512, 0.9771469943186329, 0.3664939003098829, 0.2676040578853227, -0.4831300159860173, -0.13898389402688394, -0.4764772780805728, 0.40567680507958737, 0.4408752468312892, -0.35644397897699137, 0.6639938565773602, 0.47779451771813314, 0.6540299618242298, 0.9245812965160284, 0.7393952694128587, 0.7854733045078115, 0.0847395207277422, 0.3111377210772417, 0.4339682427735664, 0.7829249765028519, 0.7025810362055984, 0.9582460000386003, 0.7293036996007292, 0.0, 0.28273614494936244, 0.8480161396169579, 0.6434054141270495, 0.8624005325926816, 0.6926859460809867, 0.8067111762682664, 0.9078528980764475, 0.7584875782399991, 0.8450385428041259, 0.5239406677110486, 0.5989591453588576, 0.7513044660791692, 0.8788169474892172, 0.6800307262636149, 0.8221639895390279, 0.313212829584167, 0.0, 0.4338349549851832, 0.745911323105815, 0.9849259004837013, 0.7049107141060779, 0.275533790903254, 0.9632124305281137, 0.8758242916537431, 1.0, 0.3885435702446326, 0.8696481851213, 0.5, 0.25, 0.5358983848622454, 0.6123724356957945, 0.2946692552669702, 0.18908479521061275, 0.18432088917018014, 0.833806971610288, 1.0, 0.8357635412045185, 0.6923059624902529, 0.0, 0.6826839528168546, 0.3584604513874837, 0.25, 0.5, 0.5, 0.05874275876346054, -0.3820873961719032, 0.4582361896862005, -0.6038812785388128, -0.7530538589672404, 0.894519482128141, 0.0, 0.23348519362186784, 0.0, 0.0, 0.0, 1.0, 0.0, 0.6666666666666666, 0.6, 0.812807881773399, 0.8312957489504122, 0.8558527566189168, 0.16483516483516494, 0.8488636363636362, 0.8804754567466435, -0.5294117647058824, 0.0, 0.75, 0.6, 0.8312875129477784, 1.0, 0.28519689115613295, 0.2782487971987092, 1.0, 0.9119239705373988, 0.7959685020120091, 0.9224692200999582, 0.5833333333333334, 0.3585185185185185, 0.2944211828891612, 0.5226391819482522, 0.0, 1.0, 0.0, 0.0, 0.5123959058910789, 0.0, 0.5, 0.0, 0.4920938331363397, 0.47906023090455474, 0.7720795049715706, 0.0, 0.0, 0.49223440528402923, 0.4479842257419056, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.49311390163238766, 0.4845563148419861, 0.44679851614252725, 0.4776651299415037, 0.0, 0.0, 0.8888888888888888, 0.7614856834587242, 0.6085234425677034, 0.40997304259696726, 0.2217886149399632, 0.48692519834189235, 0.5285342205916461, 0.9658186062820987, 0.4129217481860509, 0.6397554689874193, 0.0, 0.6619098199424006, 0.0, 0.0, 0.0, 0.0, 0.4, 0.6, -0.2127545042905545, 0.8043478260869567, 0.27272727272727276, 0.0, 0.8333333333333333, 1.0, 0.6666666666666656, 0.0, 0.0, 0.886676775001648, 1.0, 0.0, 0.9820782411223821, 0.7061403508771931)","(0.5536976828752779, 0.0, 0.8900169204737732, 0.8939641109298532, 0.894822006472492, 0.8976377952755906, 0.9010654490106544, 0.8847517730496454, 0.8989113530326595, 0.8996913580246914, 0.9010654490106544, 0.8996913580246914, 0.8996913580246914, 0.8956661316211878, 0.8946515397082657, 0.8984375, 0.9025487256371814, 0.8913043478260869, 0.8951612903225807, 0.8971518987341771, 0.9041297935103245, 0.9018126888217524, 0.7658959537572254, 0.7460815047021944, 0.7060957910014513, 0.7224126113776559, 0.7975, 0.7543966040024257, 0.7324966974900925, 0.7947288393309682, 0.7324966974900925, 0.7947288393309682, 0.7796517954298149, 0.7171787709497206, 0.7975, 0.7324966974900925, 0.595, 0.7460815047021944, 0.7583532219570405, 0.7859408033826639, 0.7918807810894142, 0.7828418230563002)"
2,D,Aspartic_Acid,C([C@@H](C(=O)O)N)C(=O)[O-],"(0.6181527350386492, -1.0, 0.378, 0.8230088495575221)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,5.58,0.378,-1,"(0.25, 0.75, 0.9517766497461929, 1.0, 0.06559766763848396, 0.0, 1.0, 1.0, 0.0, 0.22129186602870812, 0.8454147670958335, 0.9871303924998289, 1.0, 0.9088257180832067, 0.572751789854619, 1.0, 0.8917666877237312, 0.9491006360472918, 0.9938867794436709, 0.9707453773384865, 0.9816567851283703, -0.09795836217656742, -0.9727444433086648, 0.9419811774431005, -0.8302483258854093, 0.0, 0.0, 0.5656923144142963, -0.4691151919866445, -0.6452892561983468, -0.20584795321637483, 0.4558418451400328, 0.10814713896457757, 0.0, -0.876287204194461, 0.8351058890753899, 0.0, 0.4721745162508231, -0.3214018516350579, -0.6159784912857033, -0.36941770520191125, -0.3323577530047129, 0.0, 0.0, -0.510074312843143, -0.36324605071296934, 0.3902956618888051, -0.13273144856250227, 0.0, 0.9101202913380246, -0.7379225632715534, -0.6797689998445309, 0.935306767114707, -0.3390050286663412, 0.0, -0.36803762111835936, 0.348170077291726, 0.0, 0.0, -0.7994976398824547, 0.019579207563476215, 0.0804864722970098, 0.0, 0.0, 0.7926088562399968, 1.0, -0.05882394995531673, -0.6367315704793509, 0.35634944083118614, -0.673753741072675, -0.7755113849576806, 1.0, -0.9761542666831716, 0.25106941017523493, 0.3634921521680132, 0.781929513319005, -0.8619991013314374, -0.525481458854215, -0.5344151864267122, 0.8187711348136962, -0.8879901384598069, -0.3193181818181816, 0.23267022549048005, -0.6426288323548592, -0.34088674371765126, -0.17473363774733666, 0.4123875397493775, 0.4694278206114889, 0.9506311412167916, -0.5633418353830542, 0.46531821952769165, 0.6709123388303928, -0.6362921358803122, -0.023532763204222554, -0.4172288622544621, -1.0, 0.2676040578853227, -0.6294530247546581, -0.510826833755102, -0.06050713155436168, 0.40567680507958737, 0.3718306166595401, -0.43422030333270506, 0.9142556352037932, 0.47779451771813314, 0.6540299618242298, 0.6709535160001354, 0.8617021451515903, 0.7776434998033179, 1.0, 0.3111377210772417, 0.4339682427735664, 0.6059405940594056, 0.6936252631578945, 0.7743622235330956, 0.6523943699191689, 0.0, 0.28273614494936244, 0.7685312524144328, 0.6577913449171829, 0.6484185011320744, 0.9378846046472151, 0.796303650729397, 0.8970036095636834, 0.870404405264298, 0.7563198230102409, 0.500522268151309, 0.5989591453588576, 0.9022993531898551, 0.7516939157290516, 0.6198173830034663, 0.7405765229716161, 0.3149474484605222, 1.0, 0.4338349549851832, 0.9349721246087924, 0.6255699245215, 0.8384483902299371, 0.9995151049440784, 0.9634294694887128, 0.9999999791905749, 0.8998511198615936, 0.7358380681316018, 0.9262431839307174, 0.0, 0.5, 0.9203727514808783, 0.6123724356957945, 0.38892304066515254, 0.18908479521061275, 0.14854668526432688, 0.8547495287779069, 0.7182335127930839, 0.9760677434251697, 0.6923059624902529, 0.0, 0.2527487926601488, 0.3584604513874837, 0.25, 0.5, 1.0, -0.1991522797102687, -0.6327193932827735, 0.4586176668436789, -1.0, -1.0, 0.8952641608703088, 0.0, -0.7915717539863326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9107142857142859, 0.7333333333333333, 0.885057471264368, 0.6638312674784348, 0.5932342181537131, 0.9829059829059815, 1.0, 0.6654111738857492, -0.5294117647058824, 0.0, 1.0, 0.4, 0.8592792419629655, 0.9838897494407401, 0.34499596291175405, 0.2596988773854628, 0.7319897215505263, 0.9530882043413335, 0.820785567981348, 0.95123038267365, 0.75, 0.605, 0.34315343446141083, 0.9999999999999997, 0.0, 0.0, 0.0, 0.0, 0.5123959058910789, 0.0, 1.0, 0.0, 0.4920938331363397, 0.0, 0.7793866346239746, 0.31679138768544046, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49311390163238766, 0.9673996365761122, 0.986118356463168, 0.4638589513028945, -0.19293857833926656, 0.0, 0.8888888888888888, 0.7614856834587242, 0.6085234425677034, 0.40997304259696726, 0.36616493558243124, 0.48692519834189235, 0.5285342205916461, 0.9427475153742926, 0.32500931549833273, 1.0, 0.0, 0.5450179191336285, 0.0, 0.0, 0.0, 0.0, 0.6, 0.6749999999999999, -0.7794876666350022, 0.8148235664776308, 0.5454545454545455, 0.0, 0.9375, 0.7000000000000002, 1.0, 0.8053691275167784, 0.0, 1.0, 0.8, 0.0, 1.0, 0.8815789473684212)","(0.6181527350386492, -1.0, 0.8984771573604061, 0.9021207177814029, 0.9029126213592233, 0.9055118110236221, 0.908675799086758, 0.8936170212765957, 0.906687402799378, 0.9074074074074073, 0.908675799086758, 0.9074074074074073, 0.9074074074074073, 0.9036918138041733, 0.9027552674230146, 0.9062499999999999, 0.9100449775112445, 0.8996655518394648, 0.9032258064516128, 0.9050632911392406, 0.911504424778761, 0.9093655589123866, 0.6404624277456648, 0.6100313479623825, 0.548621190130624, 0.5736806031528444, 0.6890000000000001, 0.6228016979987873, 0.5891677675033025, 0.6847440446021288, 0.5891677675033025, 0.6847440446021288, 0.6615886833514689, 0.5656424581005587, 0.6890000000000001, 0.5891677675033025, 0.378, 0.6100313479623825, 0.6288782816229117, 0.671247357293869, 0.6803699897225076, 0.6664879356568364)"
