ROG (A),CV (J/K),TAUS (fs)
11.52684562,0.412844408,34949.581
11.53941723,0.403277132,32427.321
11.38946443,0.384050336,31597.926
11.57803869,0.413208647,33407.345
12.55533472,0.379792798,45018.979
11.45986213,0.400008269,34085.406
11.27738844,0.395366916,32562.296
11.45789029,0.437932452,34832.75
11.27713306,0.398087508,29407.617
11.37166391,0.424323801,35647.962
11.62221192,0.456713715,35420.825
11.07126506,0.415506276,27552.867
12.22852894,0.370632069,42784.443
11.28203306,0.388570328,29580.667
12.05686112,0.37733343,42962.366
11.25560394,0.424864528,33258.141
11.45834412,0.39077892,34097.097
11.36717511,0.398352803,31928.425
10.92281328,0.423812789,29312.832
11.38620349,0.428937548,33763.94
11.68782401,0.400362137,36840.082
11.55738811,0.416394147,37426.204
11.69515883,0.436389635,33767.829
12.46669643,0.38865568,54517.121
11.10537437,0.429791618,32503.969
11.86474863,0.456641044,39916.874
11.39287892,0.408515129,35519.818
10.6733617,0.783185429,25218.306
10.75578449,0.725611984,25661.548
10.95273573,0.417180947,26182.688
12.30842273,0.372346235,44255.499
11.70818816,0.39609307,38893.959
11.76898211,0.401597289,40097.809
11.2010254,0.427139178,31900.406
11.73196787,0.505867337,32359.732
12.36871457,0.435200772,45892.935
11.3275187,0.440705958,29875.205
11.75274266,0.463522936,37371.957
12.77463033,0.410160055,51344.366
13.14927032,0.397303395,55659.886
11.8933246,0.418195365,37546.945
12.35553762,0.403034596,40050.464
11.61462914,0.490279878,33657.992
11.91100542,0.47384812,42138.885
11.39201694,0.473910872,30351.323
11.7121215,0.428383374,34722.733
11.75172413,0.452955428,37254.636
11.48637584,0.439333097,34384.335
12.63086933,0.392121911,46805.903
12.31597702,0.438449602,42910.486
11.78988677,0.440903872,35490.734
11.95505709,0.428209915,41222.158
11.4864912,0.657772034,31871.884
11.80827591,0.440854978,37139.272
11.85774599,0.408137006,36450.1
11.76702936,0.422426675,37383.748
11.66861131,0.420611637,35318.711
11.68947347,0.473245006,33747.937
11.55294984,0.434303479,31332.688
11.76648078,0.427853589,36631.35
12.88233248,0.404042516,53110.61
14.19239479,0.438354444,70995.769
11.6487583,0.451044939,35634.674
11.98444659,0.448306168,39866.71
11.6965029,0.444623803,36223.549
11.6515381,0.417417854,31171.843
11.66684105,0.447580348,34530.545
11.9874597,0.444729597,42150.412
11.99577009,0.463076152,40087.177
11.60724558,0.411391225,33788.767
13.23443539,0.402475515,51978.06
11.68994739,0.422444579,33440.145
11.55677031,0.617386583,34137.271
12.0502946,0.422636158,41364.913
13.19055306,0.406916157,60096.275
11.58854046,0.401102917,29535.419
11.91349403,0.438496607,38969.893
11.61090005,0.429573696,33692.19
11.61871421,0.522410188,32415.163
12.06567818,0.440890358,39972.173
11.70545258,0.420091501,37982.495
11.83809191,0.415768963,36073.418
12.63620473,0.404736475,50399.851
11.80404803,0.442035269,36659.825
11.67355087,0.407225822,34428.409
11.94663969,0.436238146,38677.495
11.64827069,0.450009844,35679.645
12.14281269,0.411991969,37601.693
11.42433149,0.455664223,32040.952
11.61697508,0.44191057,35582.024
11.76658107,0.443998566,37085.87
11.89769642,0.43067483,35707.428
11.51104513,0.564590428,36277.689
11.75474415,0.454328879,37245.793
11.96634531,0.409995697,36048.145
11.89422591,0.416454225,38428.262
11.92159763,0.469516635,38186.84
12.61578376,0.395150134,46882.71
12.43567851,0.408278726,44714.346
11.45069299,0.42979117,33231.477
11.67489786,0.449987544,37037.853
11.74810197,0.435263208,36862.775
15.17081507,0.478512149,93636.777
11.90353519,0.402397388,34792.923
11.77686418,0.478996843,40242.038
12.21057574,0.432155402,41365.801
11.74610744,0.456277792,34071.303
12.10915398,0.450142189,39823.378
11.68400959,0.423690812,36250.679
11.60765006,0.46588553,32591.64
13.48524638,0.405181948,59373.497
12.24083535,0.391016759,42862.99
11.63767331,0.462372778,32442.409
12.39593199,0.396920898,44009.388
11.91126148,0.454611899,39327.468
11.7552282,0.427153685,35766.558
12.69145776,0.434437421,50077.417
12.63963172,0.460154358,50011.909
12.19521792,0.447954951,41882.473
11.90449747,0.418253168,29972.596
12.35225485,0.463477837,43339.226
12.25679567,0.451169156,42371.482
13.45787093,0.42656625,61741.038
13.30529519,0.425494867,57251.712
12.83751962,0.437895448,48954.537
10.36367551,1.163222195,21060.058
11.92651458,0.433836315,35869.912
12.38931273,0.46564137,42233.51
11.99195272,0.497429541,36096.933
12.23725419,0.458732561,40067.76
12.41128599,0.429833847,45154.576
12.82851667,0.462565297,49725.981
12.44129013,0.436362692,44473.539
12.87233157,0.420066393,39717.82
12.24177316,0.454972437,40511.523
11.6873915,0.484361364,31637.24
12.39815349,0.416059644,40605.395
11.66001887,0.451728527,33403.249
12.20643601,0.434344961,39115.66
